Week,EMIF,FXU,GII,IDU,IGF,INXX,JXI,PSCU,PUI,RYU,SDP,UPW,VPU,XLU
2016-52,0.01918014,-0.00779423,0.00169205,-0.00269988,-0.00353453,0.0218254,-0.00119474,-0.01689478,-0.00531263,-0.00330688,0.00623053,-0.00159405,-0.00110254,-0.00154936
2016-51,-0.00600826,0.00156495,0.00072394,0.00034895,-0.00054422,-0.02027027,0.003848,0.0,0.00287003,-0.00145387,-0.00460264,0.00478723,-0.000401,0.00022158
2016-50,-0.01001484,0.01072706,0.01049036,0.00758578,0.00493421,-0.02902622,-0.00048263,-0.00195059,0.00330989,0.00750067,-0.01803969,0.01272334,0.00710227,0.00875028
2016-49,0.02097378,0.02867677,0.01141439,0.02510498,0.0162374,0.02077432,0.0244389,0.03316155,0.02525685,0.02797784,-0.04664232,0.04505022,0.02528326,0.02343387
2016-48,-0.02498163,-0.02681072,-0.00987411,-0.02834548,-0.01002506,0.01450677,-0.01911296,-0.03393913,-0.02962036,-0.02975229,0.0605613,-0.05861505,-0.028326,-0.02623841
2016-47,0.0044428,0.01109285,0.008,0.00821918,0.00647158,0.01694915,0.00726271,0.02374491,0.01329901,0.01011501,-0.01502504,0.00808548,0.00861164,0.00813386
2016-46,0.02555301,0.01222597,0.01175869,0.00604089,0.01121657,-0.03409091,-0.00176857,0.01674419,0.01184211,0.008206,-0.01919488,0.02015038,0.0077063,0.00638147
2016-45,-0.08672936,-0.02028986,-0.04820439,-0.05226051,-0.05109489,-0.06948109,-0.05890669,0.01946819,-0.03510998,-0.04325424,0.11694511,-0.09227872,-0.04993897,-0.05659537
2016-44,-0.03294036,-0.04085761,-0.02480324,-0.03189917,-0.02469799,-0.03231441,-0.02445842,-0.00985577,-0.03420943,-0.03541001,0.06018943,-0.061738,-0.03091438,-0.03012976
2016-43,-0.03152247,0.00657354,-0.01942207,0.00561547,-0.01041111,-0.01724138,0.00426136,-0.0039072,0.00340716,0.00761905,-0.00892857,0.00961538,0.00566135,0.00564079
2016-42,0.01227831,0.0,0.01176471,-0.00044727,0.01243579,0.02116402,0.00548272,0.0022162,0.00042717,0.00259563,0.00057372,-0.00220204,0.00072322,-0.00022645
2016-41,-0.01813907,0.00083229,-0.00548402,0.00587703,-0.00724832,-0.01797945,0.00575678,-0.006141,0.00214961,-0.00041192,-0.01851852,0.00532959,0.00448384,0.00503432
2016-40,-0.00271278,-0.01856436,-0.0320781,-0.02541093,-0.03039832,0.0078125,-0.03331004,-0.03240629,-0.03352892,-0.02536085,0.0468841,-0.05609493,-0.02573831,-0.02453297
2016-39,0.00273224,-0.02626343,0.00742287,-0.03451777,0.00338895,0.0008881,-0.01653454,-0.01376038,-0.02969502,-0.03309297,0.0698942,-0.06129985,-0.03508258,-0.03573721
2016-38,0.01953393,0.02109533,0.01307495,0.02376837,0.01713231,0.00973451,0.02003224,0.02024584,0.02931462,0.0244769,-0.05783866,0.05265862,0.02458034,0.02381993
2016-37,-0.02420168,-0.00406504,-0.02079002,0.00606167,-0.01797343,-0.0053286,-0.01103448,0.00097442,0.00419815,0.0025276,-0.0130139,0.00846785,0.00598985,0.00733659
