Month,ADRE,BBRC,BICK,BKF,DBEM,DEM,DGS,DVYE,EDC,EDIV,EDZ,EEB,EELV,EEM,EEMO,EEMS,EET,EEV,EMIF,EUM,EWEM,EWX,FEM,FEMS,HILO,IEMG,PIE,PXH,SCHE,SPEM,TLTE,VWO
2016-01,-0.04155747,-0.00868193,-0.0513544,-0.06343284,-0.02257873,-0.00954479,-0.03049968,-0.02711198,-0.0954089,0.0053528,0.03358343,-0.04820373,0.01287073,-0.02374491,-0.13054608,-0.04918919,-0.06260297,0.02745977,-0.01975309,0.01537947,-0.01717475,-0.04711735,-0.02729529,-0.0241064,0.01183432,-0.02720898,-0.02398256,-0.02238209,-0.02556818,-0.03524046,-0.04491413,-0.02994216
2015-12,-0.04733932,-0.04592593,-0.04578947,-0.03759137,-0.03367003,-0.05488215,-0.03632479,-0.03763838,-0.1435569,-0.06490066,0.12933398,-0.04827299,-0.05085625,-0.04535433,-0.01346801,-0.01641052,-0.08972797,0.08360776,-0.05712138,0.04259127,-0.00658979,-0.00994883,-0.0493969,-0.02675059,-0.04220183,-0.04215763,-0.05823293,-0.0606282,-0.04324895,-0.03955021,-0.03724857,-0.03998731
2015-11,-0.0242073,-0.06465214,-0.01761658,-0.02717391,-0.03963084,-0.06108813,-0.04324801,-0.06065919,-0.13472803,-0.0635186,0.11880642,-0.01883702,-0.05124378,-0.04428268,-0.09726444,-0.02614714,-0.09651424,0.0812573,-0.03522936,0.04065041,-0.08088516,-0.02636692,-0.0532967,-0.04027356,-0.05110132,-0.04100228,-0.0218543,-0.04888268,-0.04022403,-0.04271263,-0.03793187,-0.04132231
2015-10,0.10738766,0.03473762,0.09224675,0.05350687,0.05266204,0.05207624,0.03484754,0.05759757,0.1713518,0.05433318,-0.18248247,0.10845588,0.05992509,0.05791885,0.07166124,0.04910472,0.11904244,-0.12374006,0.05896134,-0.06286103,0.07098892,0.0573648,0.06954436,0.0620378,0.04971857,0.05495103,0.03467406,0.0661597,0.05223069,0.06452922,0.06306774,0.04942717
2015-09,-0.01943199,-0.01814224,-0.05049945,0.01692421,0.02007084,-0.01932045,0.01557038,-0.01940299,0.00930823,-0.02844639,-0.06281428,-0.01493889,-0.0005322,0.00762599,-0.02924901,0.01539754,0.00801425,-0.0395189,-0.02079322,-0.01729874,-0.00161095,0.01708359,0.00785498,0.02654867,-0.01208178,0.01528202,-0.00964852,-0.02084885,0.00548246,0.00490998,0.00366876,0.01062064
2015-08,-0.07974641,-0.0751634,-0.07972098,-0.08910256,-0.0556456,-0.07291667,-0.0758443,-0.08501489,-0.22514831,-0.08763086,0.19540579,-0.0804,-0.09146629,-0.07389891,-0.0862069,-0.09450385,-0.14625612,0.13809296,-0.08141532,0.07066223,-0.06824818,-0.09749529,-0.06681034,-0.08333333,-0.07404326,-0.07907092,-0.06965174,-0.08641975,-0.07651072,-0.08324324,-0.07766533,-0.08360129
2015-07,-0.06495515,-0.03962848,-0.09559804,-0.08064984,-0.0489899,-0.0724559,-0.07680292,-0.10067311,-0.19211111,-0.07438596,0.17968123,-0.06484893,-0.03858375,-0.06316363,-0.05886036,-0.07354281,-0.12766583,0.12008879,-0.04359141,0.06060606,-0.03897436,-0.07654563,-0.07625061,-0.08895603,-0.04902724,-0.06672719,-0.04070796,-0.08245614,-0.06128887,-0.06247923,-0.07093575,-0.06278631
2015-06,-0.01868596,-0.0157767,-0.02217391,-0.03179916,-0.03986388,-0.01954569,-0.03360283,-0.02603282,-0.08521456,-0.02321611,0.0687668,-0.01725377,-0.0307422,-0.02547095,-0.11412429,-0.04495114,-0.04548616,0.04560752,-0.04829283,0.02326531,-0.02504174,-0.05137786,-0.04040873,-0.07096172,-0.00922367,-0.02740937,-0.02364475,-0.00915332,-0.02450766,-0.02863578,-0.03847754,-0.02470434
2015-05,-0.04981391,-0.03792299,-0.06045752,-0.0479872,-0.03334899,-0.05471651,-0.02762161,-0.05205259,-0.14291898,-0.06202046,0.14630906,-0.05289929,-0.03575936,-0.04685139,-0.03044619,-0.00108483,-0.09402242,0.0966957,-0.04656646,0.04847705,-0.03723917,-0.00186829,-0.04583517,-0.01147643,-0.03486647,-0.04001694,-0.02857143,-0.05582394,-0.0430602,-0.0317757,-0.0330912,-0.04128902
2015-04,0.06785385,-0.00406504,0.08453888,0.09533588,0.04047384,0.0971881,0.04582693,0.08304196,0.16974132,0.07868284,-0.16196522,0.08689194,0.03687445,0.0553624,0.12336114,0.07800093,0.12081104,-0.11113611,0.09114499,-0.05671762,0.04496644,0.04933399,0.11122047,0.0988075,0.0588697,0.05801664,0.02009185,0.10195614,0.05751226,0.05641702,0.06607452,0.05986577
