Month,BBH,BIB,BIS,CURE,FBT,FXH,IBB,IHE,IHF,IHI,IXJ,IYH,PBE,PJP,PPH,PSCH,PTH,RXD,RXL,RYH,VHT,XBI,XHE,XHS,XLV,XPH
2014-12,-0.0081244,0.01014166,-0.04677386,-0.04439615,0.01241804,0.00752005,0.00904341,0.00722858,0.02746703,0.00620042,-0.02897018,-0.00961468,0.00326397,-0.00092951,-0.02383711,0.02329565,0.03017078,0.00601002,-0.02025072,0.00100366,-0.00303465,0.07013259,0.05023548,0.04172173,-0.01156337,0.05180132
2014-11,0.00752011,0.05447342,-0.05838534,0.10231135,0.02210167,0.02252329,0.02558875,0.0413599,0.01772362,0.05460129,0.03052104,0.03109669,0.02198931,0.00215219,0.04451346,0.00882852,0.01689446,-0.04286608,0.06122101,0.04119265,0.03179141,0.04832978,0.04816327,0.01621828,0.03353998,0.02798106
2014-10,0.10989867,0.20305374,-0.19290826,0.18419992,0.09881598,0.06756022,0.10090817,0.04909561,0.08126433,0.078654,0.03370787,0.06638737,0.08672448,0.09227143,0.00870474,0.10449146,0.08323083,-0.10408506,0.1319699,0.07444089,0.06865561,0.1132449,0.10295434,0.08885232,0.06382258,0.06227022
2014-09,-0.01026323,-0.02016585,0.00589226,0.00669291,-0.01292546,-0.00905861,-0.00864616,0.02179102,-0.02178712,-0.02978638,0.00335196,0.00111759,-0.02811762,0.00467993,0.01917664,-0.03400638,-0.01951123,-0.01920966,0.00302801,-0.00189723,-0.00155649,-0.02551895,-0.02987647,-0.0278486,0.00488133,0.02136058
2014-08,0.11081822,0.21630882,-0.18518519,0.14634146,0.1424347,0.057454,0.10490101,0.05719407,0.05544334,0.01241857,0.042007,0.05284826,0.11121673,0.06735937,0.02477844,0.04515889,0.10676234,-0.10271605,0.10957469,0.04048716,0.05292587,0.11661746,-0.00347021,0.04467213,0.04758548,0.08463871
2014-07,-0.00822231,-0.09472817,0.0884863,-0.03987863,-0.03641123,-0.01791982,-0.04673326,-0.05071119,0.0015196,-0.01775738,-0.0212135,-0.01553847,-0.03640943,-0.0493533,-0.0269651,-0.04907115,-0.07860437,-0.00049358,-0.03570708,-0.00597284,-0.01583689,-0.06695296,-0.03101425,0.01109285,-0.01116344,-0.09945005
2014-06,0.04824659,0.14936834,-0.13332516,0.05722461,0.07633888,0.03016825,0.07303229,0.03333874,0.02178445,0.04084418,0.02024006,0.02525339,0.12018853,0.02764895,0.02737226,0.04313725,0.05712438,-0.05470664,0.04831338,0.02401358,0.0278546,0.18359191,0.04325926,0.02748775,0.01981268,0.05199902
2014-05,0.02813329,0.05789887,-0.07541393,0.07855297,0.02214514,0.03608661,0.03058701,0.01084545,0.05891439,0.03012634,0.01627573,0.02386194,-0.01108819,0.02570694,-0.0036483,0.02777246,0.00893636,-0.03728095,0.04696449,0.04022989,0.02659359,0.01484099,0.0278619,0.04484902,0.02647658,0.03030303
2014-04,-0.0636027,-0.10644929,0.06657963,-0.04646565,-0.05183393,-0.03630363,-0.04720761,0.01694773,-0.04745334,-0.04675701,0.00168837,-0.01513702,-0.06891566,0.0121246,0.0357075,-0.04033892,-0.06943303,0.01735334,-0.03919822,-0.02700837,-0.02110503,-0.11505172,-0.07792208,-0.02902946,-0.01264199,0.0156893
2014-03,-0.1047419,-0.20600517,0.2138641,-0.02121362,-0.0861678,-0.02989907,-0.10423117,-0.03328721,0.03403601,0.01300211,-0.00024137,-0.01005984,-0.07802548,-0.04446038,-0.00904125,-0.01451939,-0.05371248,0.00938023,-0.02123894,-0.00786517,-0.01404689,-0.12568306,0.00258028,0.02031704,-0.00513573,-0.05512004
2014-02,0.08540004,0.21875755,-0.19865431,0.26309379,0.14736262,0.08487464,0.10902399,0.11815301,0.05787224,0.07845579,0.09072058,0.08499113,0.11150442,0.12125449,0.11980797,0.04108026,0.0738255,-0.142164,0.17389087,0.08548763,0.08432836,0.14212108,0.0541754,0.0595266,0.08343195,0.11913258
2014-01,0.09173156,0.17132216,-0.16128085,0.03388823,0.08317717,0.04576803,0.08287808,0.03007382,0.00306053,0.01906898,0.0092545,0.02013611,0.13346282,0.02612164,0.02932489,0.00350942,0.04007634,-0.04879218,0.04062976,0.02678738,0.02389078,0.14793039,0.02767857,0.00990327,0.01511582,0.04647927
2013-12,0.00705284,0.01156225,-0.03504805,0.06277191,0.00950015,0.00691244,0.01036758,0.00637639,0.00270942,0.01938556,0.01005932,0.00550219,-0.01930397,0.01636033,0.02330056,0.00183655,0.00063452,-0.02137925,0.00659062,0.01468235,0.00802225,-0.00727358,0.01219512,0.00322209,0.00707686,0.02553191
2013-11,0.06074766,0.1856,-0.16097292,0.11797363,0.06337155,0.06084243,0.08781204,0.07095322,0.06484478,0.02703957,0.03251599,0.04242483,0.06845754,0.08830654,0.03976011,0.09598882,0.06216458,-0.07185838,0.08326463,0.03723248,0.04377443,0.09083891,0.04784094,0.07134101,0.04029454,0.1145668
2013-10,-0.0240687,-0.085,0.0543656,0.09006928,-0.02876173,0.01388573,-0.03963199,0.00785523,-0.00877921,0.04838123,0.03313087,0.02329534,-0.01297204,0.02247956,0.03092546,0.02560976,0.02339986,-0.07294635,0.0400116,0.02588117,0.02287882,-0.09736166,0.0493867,0.00417485,0.02990456,-0.0003201
2013-09,0.04734337,0.11801029,-0.11415781,0.07646048,0.03769046,0.03735632,0.05949832,0.02109271,0.0108312,0.04865557,0.03154574,0.02589434,0.05143209,0.00933271,0.02564717,0.04274973,0.03358119,-0.05079245,0.05294486,0.02952921,0.02975048,0.05825977,0.04010877,0.0236822,0.02555066,0.02027252
2013-08,-0.03491019,-0.0680385,0.05464364,-0.11954023,-0.06080665,-0.03763941,-0.03438914,-0.03895846,-0.02613989,-0.04753716,-0.03396437,-0.04169172,-0.0098857,-0.03744642,-0.03257329,-0.02118644,-0.04365809,0.08695652,-0.08550725,-0.03800693,-0.04077378,-0.04158416,-0.03096179,-0.03192279,-0.04123273,-0.02700065
2013-07,0.10618337,0.22945348,-0.20939389,0.21381268,0.06993948,0.06337325,0.10982855,0.06548957,0.03918885,0.04611365,0.0516072,0.06926314,0.09234466,0.09006986,0.05141451,0.08619888,0.06425406,-0.13811771,0.14457831,0.05767977,0.06804586,0.12719547,0.04942166,0.02925327,0.0688,0.07256637
2013-06,-0.02867435,-0.04749895,0.01064001,-0.03133641,0.00206968,-0.00625626,-0.01962123,-0.01340996,0.01447987,-0.01339402,-0.01726156,-0.01136729,-0.02088409,-0.00750375,-0.02484322,0.01916168,-0.00714462,0.01408158,-0.0228704,-0.00521286,-0.01068588,-0.04889014,0.01071046,0.00674624,-0.01110356,0.00899928
2013-05,0.04178929,0.09765977,-0.09634007,0.074,0.04962647,0.03828246,0.04863813,0.03948393,0.05612999,0.05641593,0.00472394,0.0268835,0.07040177,0.06298372,0.01702443,0.08398134,0.06261414,-0.05803922,0.05559465,0.04689812,0.03127816,0.07710699,0.05389222,0.0690417,0.0271472,0.07268464
2013-04,0.07765924,0.16212043,-0.16132398,0.06639004,0.06363636,0.02040816,0.07987099,0.03737579,0.01368749,-0.00327466,0.03981763,0.03080221,0.08936338,0.03475428,0.03596579,-0.00510334,0.0131406,-0.07034739,0.05878058,0.01643489,0.02825746,0.07381921,-0.01978022,-0.00164384,0.02736141,0.05261044
2013-03,0.08241665,0.14410735,-0.13699177,0.17980296,0.05791732,0.05742025,0.06921676,0.03828198,0.05363597,0.02241594,0.05170763,0.05690377,0.04417178,0.03994374,0.05218543,0.0319896,0.05012325,-0.05712406,0.12147239,0.04179678,0.05435982,0.05158988,0.03119128,0.04566474,0.05406085,0.0342692
2013-02,0.01282496,0.0,-0.01496304,0.01140684,0.01260756,0.00055804,0.00020488,0.00600919,-0.0111828,-0.01393488,0.00096401,0.00338001,-0.01513912,0.00797494,-0.00396616,0.01059883,0.0162465,-0.02449329,0.0175146,-0.01054776,0.00446553,-0.02182986,-0.00262369,0.00203252,0.00458132,0.00537857
2013-01,0.04261572,0.05706874,-0.05731572,0.19260401,0.03782307,0.06891363,0.02800342,0.05481166,0.04595783,0.07437397,0.05570745,0.055027,0.05414847,0.05819622,0.05571187,0.04199328,0.05272565,-0.11853791,0.12062441,0.06171252,0.05398191,0.042244,0.04705417,0.06450608,0.05493911,0.06604195
